,title,subtitle,link
0,THE RAT PACK,,https://www.thesun.co.uk/sport/21745861/sir-jim-ratcliffe-old-trafford-man-utd-takeover/
1,,,https://www.thesun.co.uk/sport/21745591/chelsea-man-city-champions-league-draw-quarter-finals/
2,,,https://www.thesun.co.uk/sport/21747742/man-utd-europa-league-draw-quarters-semis/
3,,,https://www.thesun.co.uk/sport/21750599/mason-mount-england-out-chelsea/
4,,,https://www.thesun.co.uk/sport/21751002/robbie-savage-lineker-bbc-staff-wages-offer/
5,RICK ROLL,How Palace could look under Carrick including raid on Man Utd and Middlesbrough,https://www.thesun.co.uk/sport/21750039/crystal-palace-michael-carrick-transfers-man-utd-middlesbrough/
6,,,https://www.thesun.co.uk/sport/21744397/patrick-vieira-sacked-crystal-palace/
7,,,https://www.thesun.co.uk/sport/21750246/vieiras-crystal-palace-sacking-controversial-derry-axing/
8,,,https://www.thesun.co.uk/sport/21747738/arsenal-celebrate-champions-league-draw/
9,,,https://www.thesun.co.uk/sport/21747071/champions-league-draw-fixed-chelsea-man-city/
10,RED KARD,,https://www.thesun.co.uk/sport/21744380/arsenal-fans-kim-kardashian-never-return-emirates-cursed/
11,,,https://www.thesun.co.uk/sport/21748755/man-utd-news-europa-league-draw-fans-fixed/
12,,,https://www.thesun.co.uk/sport/21747948/scholes-man-utd-transfer-champions-league-star-after/
13,,,https://www.thesun.co.uk/sport/21752099/real-madrid-lukaku-transfer-chelsea-inter-milan/
14,,,https://www.thesun.co.uk/sport/21744957/qataris-improved-man-utd-takeover-bid-talks/
15,LEAKY DEFENCE,Emirates roof LEAKING as fans forced to move to avoid getting soaked,https://www.thesun.co.uk/sport/21742976/emirates-stadium-roof-arsenal-fans/
16,,,https://www.thesun.co.uk/sport/21744499/arsenal-takehiro-tomiyasu-injury-crutches-europa-league/
17,,,https://www.thesun.co.uk/sport/21747016/man-utd-alejandro-garnacho-national-allegiance-argentina-spain/
18,,,https://www.thesun.co.uk/sport/21750899/kim-kardashian-film-saka-arsenal-shootout/
19,,,https://www.thesun.co.uk/sport/21747780/danny-rose-transfer-options-york-city-tottenham/
20,RED HOT LAV,United and Chelsea 'leading Lavia race' with Saints' star centre of tug-of-war,https://www.thesun.co.uk/sport/21751504/man-utd-chelsea-lavia-transfer-southampton/
21,WHAT A MESS,,https://www.thesun.co.uk/sport/21751935/paris-saint-germain-lionel-messi-rennes/
22,,,https://www.thesun.co.uk/sport/football/21741103/alvarez-contract-man-city/
23,SATURDAY,"Betting tips for Chelsea vs Everton: Premier League preview, tips and best odds",https://www.thesun.co.uk/sport/21724775/chelsea-everton-betting-tips-best-odds-offers/
24,LEADERS,,https://www.thesun.co.uk/sport/21725026/arsenal-crystal-palace-betting-tips-best-odds-offers/
25,,,https://www.thesun.co.uk/sport/21725783/man-utd-fulham-betting-tips-best-odds-offers/
26,FINAL GOODBYE,Christian Atsu funeral today as ex-Prem star laid to rest after quake tragedy,https://www.thesun.co.uk/sport/21744160/christian-atsu-funeral-killed-turkey-quake/
27,,,https://www.thesun.co.uk/sport/21746724/jose-enrique-liverpool-summer-transfer/
28,,,https://www.thesun.co.uk/sport/21748992/man-utd-recruitment-staff-key-position-summer-transfer-window/
29,,,https://www.thesun.co.uk/sport/21744190/gareth-southgate-championship-england-squad-homegrown-players/
30,,,https://www.thesun.co.uk/sport/21741904/grealish-bellingham-man-city-utd-liverpool/
31,TYCOON TRAGEDY,,https://www.thesun.co.uk/news/21746752/jacqueline-gold-dead-ann-summers-founder-death-dad/
32,,,https://www.thesun.co.uk/sport/21734975/joey-barton-refused-transfer-despite-agreement-without-consultation/
33,,,https://www.thesun.co.uk/sport/21744215/ngolo-kante-chelsea-contract-transfer-agreement/
34,,,https://www.thesun.co.uk/sport/21735108/var-mike-dean-snub-premier-league/
35,,,https://www.thesun.co.uk/betting/20803800/the-best-online-casinos-in-the-uk/
36,TRAGIC END,Football fan who ran onto pitch to punch Jack Grealish found dead aged 32,https://www.thesun.co.uk/sport/21720017/footie-fan-punch-grealish-dead/
37,,,https://www.thesun.co.uk/sport/21733489/danny-rose-training-national-league-side-watford-release/
38,,,https://www.thesun.co.uk/sport/21737592/thierry-henry-arsenal-france-women-manager-offer-rejected/
39,,,https://www.thesun.co.uk/sport/21741334/antonio-conte-tottenham-sack-joke/
