,title,subtitle,link
0,SPUR ME,,https://www.thesun.co.uk/sport/21760585/antonio-conte-attack-players-tottenham-southampton/
1,'BACK TO NORMAL',Alan Shearer breaks silence on Lineker tweet row after pulling out of MoTD,https://www.thesun.co.uk/news/21760280/upset-alan-shearer-breaks-silence-gary-lineker-tweet/
2,BACK AT IT,,https://www.thesun.co.uk/sport/21759990/gary-lineker-sly-dig-bbc-return-tv-migrant-twitter/
3,'STICK TO FOOTBALL!',Fans divided after Lineker returns WITHOUT apologising for Nazi tweet,https://www.thesun.co.uk/sport/21760956/fans-divided-gary-lineker-returns-without-apologising/
4,,,https://www.thesun.co.uk/sport/21759111/southampton-jan-bednarek-hospital-tottenham/
5,MAN CITY 6 BURNLEY 0,,https://www.thesun.co.uk/sport/21761098/haaland-man-city-6-0-burnley-fa-cup/
6,SOUTHAMPTON 3 SPURS 3,Ward-Prowse scores late penalty in huge top four blow for Spurs,https://www.thesun.co.uk/sport/21733228/southampton-spurs-live-score-result-premier-league-online/
7,,,https://www.thesun.co.uk/sport/21724899/wolves-2-4-leeds-premier-league-report-jonny/
8,BRENTFORD 1 LEICESTER 1,Barnes' chip earns draw for Foxes as Bees suffer Euro hopes blow,https://www.thesun.co.uk/sport/21732399/brentford-leicester-live-score-result-premier-league-online/
9,,,https://www.thesun.co.uk/sport/21723981/aston-villa-bournemouth-live-score-result-premier-league-online/
10,HAVING NUN OF IT,,https://www.thesun.co.uk/sport/21760227/diego-costa-matheus-nunes-red-card-leeds/
11,WELL AYL BE DAMNED,Wolves star Jonny Otto sent off for horror lunge on Luke Ayling,https://www.thesun.co.uk/sport/21759390/wolves-jonny-otto-sent-off/
12,,,https://www.thesun.co.uk/sport/21757989/hodgson-replace-vieira-crystal-palace/
13,'LEE MASON MUST'VE DRAWN IT',Viewers baffled by Trippier's penalty graphic in Newcastle win,https://www.thesun.co.uk/sport/21759055/kieran-trippier-newcastle-penalty-graphic-forest/
14,,,https://www.thesun.co.uk/sport/21759458/chris-powell-prostate-cancer-uk-charity/
15,'JOKE OF A CLUB',,https://www.thesun.co.uk/sport/21759310/rotherham-cardiff-suspended-players-pitch-waterlogged/
16,NU INJURY,Liverpool dealt blow as Nunez pulls out of Uruguay squad with mystery injury,https://www.thesun.co.uk/sport/21759754/liverpool-darwin-nunez-uruguay-mystery-injury/
17,,,https://www.thesun.co.uk/sport/21757836/arsenal-moises-caicedo-transfer-brighton/
18,HAG TO BE DONE,Man Utd to hand Ten Hag new contract whoever completes takeover from Glazers,https://www.thesun.co.uk/sport/21758344/man-utd-erik-ten-hag-contract/
19,,,https://www.thesun.co.uk/sport/21757601/man-utd-alejandro-garnacho-crutches-injury/
20,SATURDAY,"Betting tips for Chelsea vs Everton: Premier League preview, tips and best odds",https://www.thesun.co.uk/sport/21724775/chelsea-everton-betting-tips-best-odds-offers/
21,,,https://www.thesun.co.uk/sport/21725026/arsenal-crystal-palace-betting-tips-best-odds-offers/
22,,,https://www.thesun.co.uk/sport/21725783/man-utd-fulham-betting-tips-best-odds-offers/
23,UNLUCKY CHAP,,https://www.thesun.co.uk/sport/21758650/southampton-armel-bella-kotchap-injury-tottenham/
24,'ARE YOU A STALKER?',Sky Sports pundits can't believe Gary Neville’s question to Eddie Howe,https://www.thesun.co.uk/sport/21756178/stalker-neville-howe-question-sky-sports/
25,,,https://www.thesun.co.uk/sport/21758916/wanda-nara-bra-lingerie-instagram/
26,PENALTY SLICK,Fans realise why Newcastle star Trippier pretended to take pen before Isak,https://www.thesun.co.uk/sport/21757286/newcastle-kieran-trippier-penalty-isak/
27,,,https://www.thesun.co.uk/sport/21757402/referees-suspended-42-minutes-added-time-bolivia/
28,ONE FOR THE WAGES,,https://www.thesun.co.uk/sport/21757002/premier-league-wages-arsenal-man-utd/
29,'IS THIS THE MODERN GAME?',Graeme Souness tears into Mikel Arteta’s ‘nonsense’ tactic,https://www.thesun.co.uk/sport/21756378/graeme-souness-mikel-arteta-tactic-arsenal/
30,,,https://www.thesun.co.uk/sport/21756814/lionel-messi-dad-psg-saudi-arabia/
31,REVIEW,Best online casinos in the UK: Top 10 casino sites for 2023,https://www.thesun.co.uk/betting/20803800/the-best-online-casinos-in-the-uk/
32,,,https://www.thesun.co.uk/sport/21758146/barcelona-ousmane-dembele-transfer-federico-chiesa/
33,HOOP DOGG,,https://www.thesun.co.uk/sport/football/21758623/snoop-dogg-celtic-bikini-glasgow-gig-fans/
34,AWAY GAME,Lineker says his week was 'really quiet' during 1st TV appearance since tweet row,https://www.thesun.co.uk/sport/21755921/gary-lineker-jokes-quiet-week-tv-interview-bbc-row/
35,,,https://www.thesun.co.uk/sport/betting-tips/19780272/ladbrokes-20-football-free-bets/
36,WE KANE STAY,Conte reveals both he & Kane could STAY.. but only on one condition,https://www.thesun.co.uk/sport/21757094/antonio-conte-harry-kane-tottenham-champions-league/
37,,,https://www.thesun.co.uk/sport/21757908/arsenal-chelsea-declan-rice-west-ham/
38,WALKER DISGRACE,,https://www.thesun.co.uk/sport/21753041/kyle-walker-cops-slammed-ignoring-violence-women/
39,RANKED,Best casino welcome bonuses - UK casino offers for 2023,https://www.thesun.co.uk/betting/21097803/casino-welcome-bonus/
40,,,https://www.thesun.co.uk/sport/21756995/phil-jones-man-utd-cost/
41,TOFFEE GRAPPLES,Ashley Cole opens up on his and Frank Lampard's Everton exit,https://www.thesun.co.uk/sport/21758374/ashley-cole-frank-lampard-everton-exit/
42,,,https://www.thesun.co.uk/sport/21758955/tottenham-watford-adrian-blake-free-transfer/
43,FREE BETS,Get the best free bet sign up offers for March including bet £10 get £30,https://www.thesun.co.uk/betting/20812234/free-bets/
44,,,https://www.thesun.co.uk/sport/betting-tips/19782139/paddy-power-money-back-free-bets-football/
45,,,https://www.thesun.co.uk/sport/betting-tips/18922011/win-rolex-7dp/
46,FOREST WOE,,https://www.thesun.co.uk/sport/21755243/fans-furious-niakhate-handball-forest-newcastle-penalty/
47,FEELING BLUE,,https://www.thesun.co.uk/sport/21754600/supercomputer-predicts-champions-league-winner-chelsea-man-city/
48,KIM-ERA CREW,,https://www.thesun.co.uk/sport/21750899/kim-kardashian-film-saka-arsenal-shootout/
49,VARCICAL,Halsey: The offside rule is an ass and Anderson's goal being ruled out is wrong,https://www.thesun.co.uk/sport/21755387/mark-halsey-anderson-offside-newcastle-nottingham-forest/
50,,,https://www.thesun.co.uk/sport/21756020/mason-mount-transfer-hint-chelsea-man-utd-liverpool/
51,SHEAR RULING,Newcastle and Prem idol Alan Shearer tells VAR to ‘f*** off’ in X-rated blast,https://www.thesun.co.uk/sport/21756507/shearer-var-f-off-newcastle-nottingham-forest/
52,,,https://www.thesun.co.uk/betting/19779073/football-free-bets-offers-bonus-new-sign-up/
53,CONT BE SERIOUS,,https://www.thesun.co.uk/sport/21755478/conte-adds-guardiola-misery-reveals-meeting-julia-roberts/
54,BRIGHT SPARK,Arsenal target Kaoru Mitoma set to be offered record new deal by Brighton,https://www.thesun.co.uk/sport/21756062/arsenal-kaoru-mitoma-brighton-real-madrid-man-city/
55,,,https://www.thesun.co.uk/sport/21757194/emery-players-meet-prince-william-aston-villa-training/
56,MAGS FIGHT,"Man Utd in top four fight with Toon & Casemiro ban may swing it, say Nev & Carra",https://www.thesun.co.uk/sport/21756138/man-utd-champions-league-fight-newcastle-casemiro-carragher-neville/
57,,,https://www.thesun.co.uk/betting/21007381/best-no-deposit-casino-bonuses/
58,HUNGER GAME,,https://www.thesun.co.uk/sport/21723558/marseille-fan-hunger-strike-leonardo-balerdi/
59,MAD FOR HARRY,Real 'monitor' Kane as they join Man Utd & Bayern in huge fight for Spurs ace,https://www.thesun.co.uk/sport/21752266/harry-kane-real-madrid-transfer-man-utd-bayern-tottenham/
60,,,https://www.thesun.co.uk/sport/21758006/man-utd-alex-telles-sevilla-transfer-snub/
61,TAKE THE BUSQ,Barcelona offer Busquets new deal as legend mulls over FIVE transfer offers,https://www.thesun.co.uk/sport/21758598/barcelona-busquets-new-deal-five-transfer-offers/
62,,,https://www.thesun.co.uk/sport/21756237/jurgen-klopp-transfer-midfielders-liverpool/
63,MAN UTD LIVE,"Takeover LATEST, De Jong BLOW, United in Bellingham hunt, Kvaratskhelia LINKED",https://www.thesun.co.uk/sport/21564391/man-utd-news-live-takeover-latest-de-jong-bellingham-kvaratskhelia-transfer/
64,,,https://www.thesun.co.uk/sport/21454224/arsenal-news-live-saka-kim-kardashian-patrick-vieira-injury-latest/
65,,,https://www.thesun.co.uk/sport/betting-tips/18918779/win-car-competition-7dp/
66,EURO STAR,,https://www.thesun.co.uk/sport/21747742/man-utd-europa-league-draw-quarters-semis/
67,CON MAN,Fuming Man Utd fans insist Europa draw is 'more fixed' than Champions League,https://www.thesun.co.uk/sport/21748755/man-utd-news-europa-league-draw-fans-fixed/
68,,,https://www.thesun.co.uk/sport/21747071/champions-league-draw-fixed-chelsea-man-city/
69,WHAT A MESS,PSG ultras planning anti-Lionel Messi protest against Rennes after poor form,https://www.thesun.co.uk/sport/21751935/paris-saint-germain-lionel-messi-rennes/
70,,,https://www.thesun.co.uk/sport/21753050/dani-alves-hunger-strike-prison-wife-leaves-him-rape/
71,KARREN BRADY,Barca face bleak future amid 'ref bribe' scandal but won't be shown red card,https://www.thesun.co.uk/sport/21754182/barcelona-bleak-future-never-be-shown-red-card/
72,,,https://www.thesun.co.uk/sport/21753984/ivan-toney-troy-deeney-england-recall/
73,,,https://www.thesun.co.uk/sport/21691778/cruzeiro-ronaldo-fans-booed-transfers/
74,HEART AND SAUL,,https://www.thesun.co.uk/sport/21749640/napoli-sexiest-fan-champions-league-draw-naked/
75,'WHAT A GOAL',Italy ace's partner dubbed 'world's most beautiful Wag' as she wears lingerie,https://www.thesun.co.uk/sport/21698719/italy-girlfriend-worlds-beautiful-wag-lingerie/
76,'LIKE A MILLION DOLLARS',,https://www.thesun.co.uk/sport/21730552/million-dollars-rangers-model-wag-fans-wild-tiny-bikini/
